# file...... output/inv_49_meter.csv
# date...... Fri Apr 22 10:50:02 2022
# user...... nathangray
# host...... (null)
# target.... meter 471
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,-49999.9931138+0.004556254237j,-50000.0092558+0.001564748163j,-49999.9963033-0.005476297731j
2001-08-01 12:00:01 PDT,-50000.0022721-0.001543907509j,-49999.9968946-0.000499127520j,-50000.0012763+0.001827928776j
2001-08-01 12:00:02 PDT,-49999.9992525+0.000522933222j,-50000.0010408+0.000157990144j,-49999.9995595-0.000609185248j
2001-08-01 12:00:03 PDT,-50000.0002451-0.000177026732j,-49999.9996516-0.000049542050j,-50000.000152+0.000202670282j
2001-08-01 12:00:04 PDT,-49999.9999199+0.000059892202j,-50000.0001165+0.000015356542j,-49999.9999476-0.000067299181j
2001-08-01 12:00:05 PDT,-50000.0000261-0.000020249701j,-49999.9999611-0.000004691206j,-50000.0000181+0.000022301254j
2001-08-01 12:00:06 PDT,-49999.9999916+0.000006841705j,-50000.000013+0.000001406275j,-49999.9999938-0.000007373234j
2001-08-01 12:00:07 PDT,-50000.0000027-0.000002309875j,-49999.9999957-0.000000410961j,-50000.0000022+0.000002431596j
2001-08-01 12:00:08 PDT,-49999.9999991+0.000000779239j,-50000.0000014+0.000000115844j,-49999.9999993-0.000000799660j
2001-08-01 12:00:09 PDT,-50000.0000003-0.000000262657j,-49999.9999995-0.000000030883j,-50000.0000003+0.000000262189j
2001-08-01 12:00:10 PDT,-49999.9999999+0.000000088456j,-50000.0000002+0.000000007469j,-49999.9999999-0.000000085645j
2001-08-01 12:00:11 PDT,-50000-0.000000029762j,-49999.9999999-0.000000001495j,-50000+0.000000027831j
2001-08-01 12:00:12 PDT,-50000+0.000000010004j,-50000+0.000000000153j,-50000-0.000000009033j
2001-08-01 12:00:13 PDT,-50000-0.000000003360j,-50000+0.000000000073j,-50000+0.000000002921j
2001-08-01 12:00:14 PDT,-50000+0.000000001126j,-50000-0.000000000051j,-50000-0.000000000950j
2001-08-01 12:00:15 PDT,-50000-0.000000000375j,-50000+0.000000000025j,-50000+0.000000000306j
2001-08-01 12:00:16 PDT,-50000+0.000000000124j,-50000-0.000000000025j,-50000-0.000000000080j
2001-08-01 12:00:17 PDT,-50000-0.000000000040j,-50000+0.000000000000j,-50000+0.000000000018j
2001-08-01 12:00:18 PDT,-50000+0.000000000012j,-50000+0.000000000011j,-50000-0.000000000007j
2001-08-01 12:00:19 PDT,-50000-0.000000000003j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:20 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:21 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:22 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:23 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:24 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:25 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:26 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:27 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:28 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:29 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:30 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:31 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:32 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:33 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:34 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:35 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:36 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:37 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:38 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:39 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:40 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:41 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:42 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:43 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:44 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:45 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:46 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:47 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:48 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:49 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:50 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:51 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:52 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:53 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:54 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:55 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:56 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:57 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:00:58 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:59 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000004j
2001-08-01 12:01:00 PDT,-45000.0084277-0.000826349110j,-44999.9947522-0.003837120494j,-44999.9983494+0.004242421070j
2001-08-01 12:01:01 PDT,-44999.9969987+0.000314602947j,-45000.0019052+0.001366598088j,-45000.0005805-0.001524318985j
2001-08-01 12:01:02 PDT,-45000.0010699-0.000118127401j,-44999.9993115-0.000486136993j,-44999.9997979+0.000547021755j
2001-08-01 12:01:03 PDT,-44999.9996186+0.000043982938j,-45000.0002481+0.000172795542j,-45000.0000701-0.000196095341j
2001-08-01 12:01:04 PDT,-45000.0001359-0.000016282360j,-44999.9999107-0.000061382812j,-44999.9999758+0.000070228354j
2001-08-01 12:01:05 PDT,-44999.9999516+0.000006001461j,-45000.0000321+0.000021794403j,-45000.0000084-0.000025129048j
2001-08-01 12:01:06 PDT,-45000.0000172-0.000002204214j,-44999.9999885-0.000007734845j,-44999.9999971+0.000008984323j
2001-08-01 12:01:07 PDT,-44999.9999939+0.000000807111j,-45000.0000041+0.000002743978j,-45000.000001-0.000003209687j
2001-08-01 12:01:08 PDT,-45000.0000022-0.000000294752j,-44999.9999985-0.000000973061j,-44999.9999997+0.000001145854j
2001-08-01 12:01:09 PDT,-44999.9999992+0.000000107387j,-45000.0000005+0.000000344946j,-45000.0000001-0.000000408796j
2001-08-01 12:01:10 PDT,-45000.0000003-0.000000039041j,-44999.9999998-0.000000122232j,-45000+0.000000145756j
2001-08-01 12:01:11 PDT,-44999.9999999+0.000000014166j,-45000.0000001+0.000000043277j,-45000-0.000000051939j
2001-08-01 12:01:12 PDT,-45000-0.000000005133j,-45000-0.000000015334j,-45000+0.000000018488j
2001-08-01 12:01:13 PDT,-45000+0.000000001856j,-45000+0.000000005446j,-45000-0.000000006588j
2001-08-01 12:01:14 PDT,-45000-0.000000000669j,-45000-0.000000001946j,-45000+0.000000002357j
2001-08-01 12:01:15 PDT,-45000+0.000000000238j,-45000+0.000000000702j,-45000-0.000000000837j
2001-08-01 12:01:16 PDT,-45000-0.000000000084j,-45000-0.000000000251j,-45000+0.000000000298j
2001-08-01 12:01:17 PDT,-45000+0.000000000032j,-45000+0.000000000073j,-45000-0.000000000120j
2001-08-01 12:01:18 PDT,-45000-0.000000000012j,-45000-0.000000000036j,-45000+0.000000000036j
2001-08-01 12:01:19 PDT,-45000+0.000000000002j,-45000+0.000000000033j,-45000-0.000000000011j
2001-08-01 12:01:20 PDT,-45000-0.000000000001j,-45000-0.000000000011j,-45000+0.000000000007j
2001-08-01 12:01:21 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000011j
2001-08-01 12:01:22 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000007j
2001-08-01 12:01:23 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:24 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:25 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:26 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:27 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:28 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:29 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:30 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:31 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:32 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:33 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:34 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:35 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:36 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:37 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:38 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:39 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:40 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:41 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:42 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:43 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:44 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:45 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:46 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:47 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:48 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:49 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:50 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:51 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:52 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:53 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:54 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:55 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:56 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:57 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:01:58 PDT,-45000+0.000000000000j,-45000-0.000000000004j,-45000+0.000000000004j
2001-08-01 12:01:59 PDT,-45000+0.000000000000j,-45000+0.000000000007j,-45000-0.000000000007j
2001-08-01 12:02:00 PDT,-40000.0073653-0.000608490734j,-39999.9954643-0.003433992970j,-39999.9985156+0.003689283025j
2001-08-01 12:02:01 PDT,-39999.9973755+0.000234471705j,-40000.0016473+0.001223960087j,-40000.000522-0.001326272013j
2001-08-01 12:02:02 PDT,-40000.0009361-0.000088836088j,-39999.9994044-0.000435718983j,-39999.9998181+0.000476233370j
2001-08-01 12:02:03 PDT,-39999.9996661+0.000033317803j,-40000.0002147+0.000154986938j,-40000.0000632-0.000170824631j
2001-08-01 12:02:04 PDT,-40000.0001191-0.000012409958j,-39999.9999227-0.000055095952j,-39999.9999781+0.000061215938j
2001-08-01 12:02:05 PDT,-39999.9999576+0.000004598509j,-40000.0000278+0.000019576048j,-40000.0000076-0.000021917651j
2001-08-01 12:02:06 PDT,-40000.0000151-0.000001696870j,-39999.99999-0.000006952421j,-39999.9999974+0.000007840896j
2001-08-01 12:02:07 PDT,-39999.9999946+0.000000623940j,-40000.0000036+0.000002468136j,-40000.0000009-0.000002802859j
2001-08-01 12:02:08 PDT,-40000.0000019-0.000000228717j,-39999.9999987-0.000000875851j,-39999.9999997+0.000001001208j
2001-08-01 12:02:09 PDT,-39999.9999993+0.000000083612j,-40000.0000005+0.000000310698j,-40000.0000001-0.000000357410j
2001-08-01 12:02:10 PDT,-40000.0000002-0.000000030491j,-39999.9999998-0.000000110187j,-40000+0.000000127504j
2001-08-01 12:02:11 PDT,-39999.9999999+0.000000011093j,-40000.0000001+0.000000039050j,-40000-0.000000045467j
2001-08-01 12:02:12 PDT,-40000-0.000000004028j,-40000-0.000000013850j,-40000+0.000000016196j
2001-08-01 12:02:13 PDT,-40000+0.000000001458j,-40000+0.000000004922j,-40000-0.000000005777j
2001-08-01 12:02:14 PDT,-40000-0.000000000527j,-40000-0.000000001721j,-40000+0.000000002059j
2001-08-01 12:02:15 PDT,-40000+0.000000000192j,-40000+0.000000000600j,-40000-0.000000000728j
2001-08-01 12:02:16 PDT,-40000-0.000000000068j,-40000-0.000000000233j,-40000+0.000000000269j
2001-08-01 12:02:17 PDT,-40000+0.000000000025j,-40000+0.000000000084j,-40000-0.000000000113j
2001-08-01 12:02:18 PDT,-40000-0.000000000011j,-40000-0.000000000033j,-40000+0.000000000051j
2001-08-01 12:02:19 PDT,-40000+0.000000000005j,-40000+0.000000000011j,-40000-0.000000000029j
2001-08-01 12:02:20 PDT,-40000-0.000000000003j,-40000-0.000000000007j,-40000+0.000000000007j
2001-08-01 12:02:21 PDT,-40000+0.000000000002j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:22 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:23 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:24 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:25 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:26 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:27 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:28 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:29 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:30 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:31 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:32 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:33 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:34 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:35 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:36 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:37 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:38 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:39 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:40 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:41 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:42 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:43 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:44 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:45 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:46 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:47 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:48 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:49 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:50 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:51 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:52 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:53 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:54 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:55 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:56 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:57 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:02:58 PDT,-40000-0.000000000001j,-40000+0.000000000000j,-40000+0.000000000000j
2001-08-01 12:02:59 PDT,-40000+0.000000000001j,-40000+0.000000000000j,-40000-0.000000000007j
2001-08-01 12:03:00 PDT,-35000.0063411-0.000425033033j,-34999.9961385-0.003025535676j,-34999.9986859+0.003159211892j
2001-08-01 12:03:01 PDT,-34999.9977386+0.000166687175j,-35000.0014033+0.001079400050j,-35000.0004622-0.001136585448j
2001-08-01 12:03:02 PDT,-35000.0008072-0.000063972592j,-34999.9994923-0.000384613935j,-34999.9998387+0.000408458687j
2001-08-01 12:03:03 PDT,-34999.9997119+0.000024239393j,-35000.0001832+0.000136933941j,-35000.0000561-0.000146637447j
2001-08-01 12:03:04 PDT,-35000.0001028-0.000009105777j,-34999.999934-0.000048722439j,-34999.9999805+0.000052592555j
2001-08-01 12:03:05 PDT,-34999.9999633+0.000003398909j,-35000.0000237+0.000017327036j,-35000.0000067-0.000018845836j
2001-08-01 12:03:06 PDT,-35000.0000131-0.000001262257j,-34999.9999915-0.000006159173j,-34999.9999977+0.000006747507j
2001-08-01 12:03:07 PDT,-34999.9999953+0.000000466770j,-35000.0000031+0.000002188475j,-35000.0000008-0.000002413954j
2001-08-01 12:03:08 PDT,-35000.0000017-0.000000171972j,-34999.9999989-0.000000777312j,-34999.9999997+0.000000862970j
2001-08-01 12:03:09 PDT,-34999.9999994+0.000000063154j,-35000.0000004+0.000000275979j,-35000.0000001-0.000000308297j
2001-08-01 12:03:10 PDT,-35000.0000002-0.000000023126j,-34999.9999999-0.000000097960j,-35000+0.000000110073j
2001-08-01 12:03:11 PDT,-34999.9999999+0.000000008446j,-35000.0000001+0.000000034775j,-35000-0.000000039276j
2001-08-01 12:03:12 PDT,-35000-0.000000003075j,-35000-0.000000012327j,-35000+0.000000014015j
2001-08-01 12:03:13 PDT,-35000+0.000000001116j,-35000+0.000000004366j,-35000-0.000000004991j
2001-08-01 12:03:14 PDT,-35000-0.000000000403j,-35000-0.000000001548j,-35000+0.000000001757j
2001-08-01 12:03:15 PDT,-35000+0.000000000145j,-35000+0.000000000551j,-35000-0.000000000618j
2001-08-01 12:03:16 PDT,-35000-0.000000000053j,-35000-0.000000000211j,-35000+0.000000000222j
2001-08-01 12:03:17 PDT,-35000+0.000000000021j,-35000+0.000000000082j,-35000-0.000000000076j
2001-08-01 12:03:18 PDT,-35000-0.000000000008j,-35000-0.000000000025j,-35000+0.000000000036j
2001-08-01 12:03:19 PDT,-35000+0.000000000003j,-35000+0.000000000013j,-35000-0.000000000015j
2001-08-01 12:03:20 PDT,-35000-0.000000000002j,-35000-0.000000000007j,-35000+0.000000000005j
2001-08-01 12:03:21 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:22 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:23 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:24 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:25 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:26 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:27 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:28 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:29 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:30 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:31 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
2001-08-01 12:03:32 PDT,-35000-0.000000000001j,-35000-0.000000000004j,-35000-0.000000000004j
2001-08-01 12:03:33 PDT,-35000+0.000000000002j,-35000+0.000000000000j,-35000+0.000000000004j
